index,ProductTitle,ProductsCategory,Brand,ProductDescription
0,Whiskas Adult (+1 year) Fish 3 kg Dry Cat Food,Household Care|Pet Food,Whiskas,"These little pockets of fish cat food are going to have your cat crunching and munching till the last bite. Easy to serve, healthy and crunchy, this cat food is going to give you a healthier and happier cat."
1,Pantene Hair Fall Control Shampoo(180 ml),Hair Care,Pantene,"If your hair falls frequently and you leave behind a strand or two wherever you go, it’s time to take a second look at the shampoo you use. Pantene Hair fall Control Shampoo is designed for use by both men and women to reduce hair fall. This Hair fall Control Shampoo gently but effectively removes impurities and excess sebum from your hair and scalp. This facilitates better absorption of the fortifying nutrients present in the Pantene Hair fall Control Shampoo. Your weak hair is left nourished and breakage is reduced considerably. With continued use your hair is left feeling nourished and repaired. Enjoy thick tresses full of bounce and volume with Pantene Hair fall Control Shampoo. Directions for Use Brush your hair before bath. Wash your hair completely with water. Pour the required amount of Pantene Hair fall Control Shampoo and apply evenly through your hair. Work into lather and massage your scalp using your fingertips. Squeeze and remove excessive lather and wash off thoroughly."
2,m&m's Milk Chocolate Truffles(100 g),Chocolates & Sweets,m&m's,"Whether its a festival or not, sweets have their own undeniable charm. With Diwali around the corner, this pack of M&M's milk chocolate candies will be a delicious gifting option. D elicious Taste Each M&M comes in a sugary colourful shell that opens up to deliver a piece of smooth chocolate. Visual Appeal These M&M’s not only satisfies your tongue with their taste but also your eyes with their attractive colours. "
3,Beardo Ultraglow All In 1 Lotion(100 g),"Creams, Lotions, Skin Care",Beardo,"BEARDO Ultraglow All in 1 Men's Face Lotion - 100g , This Special Formula is enriched with Natural and Ayurvedic Herbs which provides protection and moisturising of the skin.This formula for men has an effective sun screen of SPF30 that blocks UVA/UVB rays and prevents premature ageing of skin.This formula not only reduces dark spots and whitens the skin it also controls oil production,firms and improves elasticity of skin giving the skin a healthy radiant look."
4,Kohinoor Punjabi Paneer Butter Masala(15 g),Masalas & Spices,Kohinoor,The smell of fresh paneer butter masala being cooked is heavenly for those who are hardcore paneer fans. This Punjabi paneer butter masala from Kohinoor will take your taste buds on a joy ride. Lavish Spread Do you have guests coming over but not enough time to cook dinner? Cook up some rich and yummy paneer butter masala in no time. Smoky Flavour The smoky flavour of Kasoor methi will add a great finishing touch to the mouth-watering paneer butter masala gravy.
5,Parachute Pure Coconut Hair Oil(300 ml),Hair Care,Parachute,"Treat your mane with the engulfing aroma of coconuts with the Parachute coconut hair oil. This coconut oil has been manufactured using hand-picked coconuts and it has undergone a 5-stage purification process for enhanced purity. 100% Pure Coconut Oil This coconut oil has been made using hand-picked coconuts from India, thereby making it authentic and pure. Consistent Composition Every drop of this oil has the same consistency and viscosity, thereby keeping your hair healthy and strong, with every use. 5-stage Purification Process It has undergone a 5-step purification process to ensure that what you get is nothing but pure and fresh coconut oil for your hair."
6,Flipkart Supermart Select Abjosh Raisins(200 g),"Dry Fruits, Nuts & Seeds",Flipkart Supermart Select,"Raisins are small dry fruits that pack more than their size. They are concentrated with carbohydrates, vitamins, iron, potassium and more. Raisins are excellent sources of key nutrients and energy which help improve your overall health. Flipkart Supermart brings a variety of raisins to add a distinct sweetness to your home-made delicacies along with the goodness of nutrition. Sourced from the finest traditional farms, our professionals handpick these ‘Select’ produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures enhanced shelf-life while preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family."
7,Patanjali Kesh Kanti Shikakai Hair Cleanser(200 ml),Hair Care,Patanjali,"Get rid of dry hair and show-off your soft, lustrous long locks with the Patanjali Kesh Kanti Shikakai Hair Cleanser. Enriched with natural ingredients, such as shikakai, amla, reetha, tulsi, and bhringraj, this haircare essential reduces hair fall, restores bounce, and makes hair naturally healthy and shiny."
8,Nivea Body Milk Nourishing Lotion(400 ml),"Creams, Lotions, Skin Care",Nivea,"Radiant, creamy, and smooth - your skin will get a fresh lease of life with the Nivea Body Milk Nourishing Lotion. It has a creamy formula with Hydra IQ and Almond Oil to give you well-nourished, soft skin. Long-lasting Hydration Get hydrated and smooth skin, thanks to the Hydra IQ formula of this lotion. Repairs Skin This lotion contains almond oil which effectively repairs dry skin."
9,Himalaya Khus Khus Baby Powder(100 g),Baby Bath & Skin Care,Himalaya,"Be it a post-bath, nappy change or sleep time, this Himalaya Baby Powder will help keep your baby’s skin cool and odour-free at all times. Contains Natural Ingredients This powder contains natural ingredients having various medicinal properties. It has olive oil which nourishes, protects and softens skin, and almond oil which moisturizes and fights infections. This gentle formulation is easy on your baby’s sensitive skin. Controls Body Odour Khus khus gives the antiperspirant and anti-astringent properties to this powder and helps control body odour and keep your baby sweat-free. Antiseptic Property This powder is antiseptic and helps keep your little one’s sensitive skin free from skin infections. Relieves Itching This baby powder relives your baby of itching and soothe his skin."
